EntryID,Supplier Key,Supply Chain,Top 100,BMW Potential,CSCS,IPO SEA Contacted,CompStatus,Supplier Name,BMW Supplier Nr,Main Product Group,Sub Product Group,Product Portfolio,Industry,Core Process,Main Material,Tech Capability Level,Product Complexity,Ownership Structure,Nationality,Street No RA,RegAddressIE,City RA,Province RA,Country RA,Zip Code RA,Parent Company,SEACompany
39,TH19040813,,,Y,Y,Y,Active,Aapico Forging Pcl.,,MF,6,"Forged parts, Drivetrain, Propeller shafts, Hubs",Metal,Forging / Machining,Steel,H,C,P,Malaysian,700/16 Moo 6,Amata Nakorn Industrial Estate,Muang,Chonburi,THA,20000,,Aapico Grp
40,TH19040816,,,,Y,Y,Active,"Aapico Plastics Public Co,. Ltd. (Rayong Branch)",,MI,33,"Plastic Fuel Tank, Screen Washer System, Helmets, Electronic Parts-Plastic",Plastic,Plastic Injection,Plastic,L,C,P,Malaysian,"7/288 Moo 6, Mabyangporn",Amata City Industrial Estate,Pluakdaeng,Rayong,THA,21140,,Aapico Grp
41,TH19040821,,,,Y,Y,Active,"Abatek (Asia) Co., Ltd.",BMW Supplier,MI,33,"Touchpads, Silicone Keypads, Click Pad, Input Devices, Switches, User Interface, Crack Case Painting",Rubber,Rubberforming / Extrusion,Rubber,L,C,C,Swiss,946,Bangpoo Industrial Estate,Muang,Samutprakarn,THA,10280,,
42,TH19040828,,,,Y,Y,Active,"Able Progress Industry Co., Ltd.",,MK,25,Exterior Mirror For Ford And Mazda Pick Up/SUV Exterior parts,Plastic,Plastic Injection,Plastic,L,C,C,Japan,"16/10 Moo 2, Soi Wat Jedeehoi",,Ladloomkaew,Pathum thani,THA,12140,,Able
43,TH19040829,,,Y,Y,Y,Active,"Able Sanoh Industries (1996) Co., Ltd.",Potential,MA,17,"Tube Assy Fuel, Tube Compl Brake Pipe Comp, Fuel Tube Brake Parts Pipe",Metal,Sheet Metalforming,Steel,L,C,C,Japan,"98 Moo 1, T. Banpho",Hitech Industrial Estate,Bangpa-In,Ayuthaya,THA,13160,Sanoh,Aapico Grp
191,SP1910070643,,,Y,Y,Y,Active,Action Composites Hightech Industries,238072 - 10,MK,4,CFRP parts,CFR,,CFRP,H,C,C,Chinese,No. 4,Nhon Trach 3 Industrial Zone,,Dong Nai Province,VNM,,,
1,TH19040839,,Y,,Y,Y,Active,Adient & Summit Interiors Ltd.,148925-10,MI,33,Door Trim Covers,Leather,Assembly,Leather / Fabric,H,A,C,American,,Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,Adient,Summit Auto Grp
44,TH19040848,,,y,Y,Y,Active,"Aeroklas Co., Ltd.",233171-10,MK,4,"Auto Accessories, Bedliner, Cargo Liner",Plastic,Plastic Injection,Plastic,L,C,C,Thai,"62 Soi Bangna-Trad25, Bangna-Trad Rd.",,Bangna,Bangkok,THA,10260,,Aeroklas
187,SP1908051652,,,,Y,Y,Active,"AI Foundry & Manufacturing Co.,Ltd.",,MA,6,Iron Casting & Machining,Metal,Casting / Machining,Iron FCD 600-800 (JIS G 5502),M,C,C,Thai,"56 Moo 9 Ladlumkaew-Pathumthani Rd., Kubangluang",,Ladlumkaew,Pathumthani,THA,,,
45,TH19040863,,,Y,,Y,Active,"Aichi Forge Thailand Co., Ltd.",,MA,12,"Crank Shaft Axle Shaft Machining Forging, forged parts",Metal,Precision Machining,Steel,L,C,C,Japan,"150/68 Moo 9, Nongkham",Pinthong Industrial Estate 2,Sriracha,Chonburi,THA,20110,,
46,PH19040868,,,,,Y,Active,"Aikawa Philippines, Inc.",,MA,19,Cooling Fan Stamping | Machning | Plastic Injection Molding | Assembly,Plastic,Plastic Injection,Plastic,L,C,C,Japan,"RBF-F. Road,Lot 15",First Philippine Industrial Park - SEZ,Sto Tomas,Batangas,PHI,4234,,
47,TH19040888,,,,Y,Y,Active,"Akebono Brake (Thailand) Co., Ltd.",,MF,5,Brake Disc Brake Brake Pad Brake Caliper Piston Ma,Metal,Precision Machining,Steel,L,C,C,Japan,700/880 Moo 1,Amata Nakorn Industrial Estate,Phanthong,Chonburi,THA,20160,Akebono,
48,VN19040890,,,,,Y,Active,Akebono Brake Astra Vietnam,,MF,5,"Brake Caliper, Master Cylinder",Metal,Precision Machining,Steel,L,C,C,Japan,Plot F-3,Thang Long II Industrial Park,Yen My,Hung Yen Province,VNM,,Akebono,Astra Otoparts
49,TH19040895,,,Y,Y,Y,Active,"Alexon Co., Ltd.",156514-10,MA,19,"Radiator, Oil Cooler, Radiator Cap Intercooler Rad, cooling systems, cooling module",Aluminum,Assembly,Aluminum,H,C,C,Thai,"51/1 Moo1 Suwintawong St., Klongnakornnuangket",,Muang,Chachoengsao,THA,24000,,
50,TH190408103,,,,,Y,Active,"Alphacast Co., Ltd.",133833-10,MK,4,"Sheet Metal Fabricating Part, investment casting",Metal,Casting / Machining,Steel,L,C,C,Taiwanese,"19/2 Moo7, Nonglee",,Muang,Chonburi,THA,20000,,
2,MY190408108,,Y,Y,Y,Y,Active,Alps Electric (Malaysia) Sdn Bhd,215928-10,MI,2,"Hidden Switch |  Electronics/Electric Parts |  Stamping, EMS",Electronics,Assembly - Mechanical,Plastic,H,A,C,Japan,P.T. 10643,Nilai Industrial Estate,Nilai,Negeri Sembilan,MYS,71800,Alps Electric,
51,MY190408110,,,,,Y,Active,Aluminium Alloy Industries Sdn Bhd (Asahitec),,MA,36,Aluminum Castings,Aluminum,Casting / Machining,Aluminum,L,C,C,Malaysian,Lot 2473,Nilai Industrial Estate,Nilai,Negeri Sembilan,MYS,71800,,
52,MY190408138,,,,Y,Y,Active,APM Air-Conditioners Sdn Bhd,,MA,19,"Air Conditioning Systems, Condensers, Evaporators",,Assembly - Mechanical,,L,C,C,Malaysian,,,,,MYS,,,APM Group
53,MY190408140,,,,Y,Y,Active,APM Climate Control Sdn Bhd,,MA,19,"HVAC Modules, Air-Conditioning System, Condenser, And Evaporator Radiators (Aluminium), cooling systems, cooling module",Aluminum,Assembly - Mechanical,,L,C,C,Malaysian,Lot 600,Pendamaran Industrial Estate,Port Klang,Selangor,MYS,42009,,APM Group
54,MY190408141,,,,Y,Y,Active,APM Coil Spring Sdn Bhd.,,MF,6,"Spring Steel, Shock Absorbers, Back Door,Gs Springs",Metal,Bending / Welding,Steel,L,C,C,Malaysian,Lot 600,Pendamaran Industrial Estate,Port Klang,Selangor,MYS,42009,,APM Group
55,MY190408145,,,,Y,Y,Active,APM Shock Absorbers Sdn Bhd.,,MF,6,Shocks/Struts,,Assembly - Mechanical,,L,C,C,Malaysian,,,,,MYS,,,APM Group
10,SG190408630,,Y,Y,Y,Y,Active,Aptiv Safety & Mobility Services,209732-10,MI,2,"Radar, Connectivity Systems",,,,,,,,501 Ang Mo Kio Industrial Park,,Singapore,Singapore,SGP,569621,APTIV,
56,MY190408162,,,,,Y,Active,Armstrong Auto Parts Sdn Bhd,256172 - 10,MF,5,Control Cable Motorcycle Parts,,Assembly - Mechanical,,L,C,C,Malaysian,1028,Prai Industrial Estate,Prai,Penang,MYS,13600,,Armstrong Oriental grp
57,TH190408181,,,Y,Y,Y,Active,"Asahi Tec Aluminium (Thailand) Co., Ltd.",190614-10,MA,12,Intake Manifold Alloy Wheel Aluminum Die Casting,Aluminum,Casting / Machining,,H,C,C,Japan,700/145 Moo 5,Amata Nakorn Industrial Estate,Muang,Chonburi,THA,20000,,
58,ID190408215,,,,,Y,Active,"Astra Otoparts, Div Nusametal",,MA,12,Aluminum Castings,Aluminum,Casting / Machining,,L,C,C,,,,,,IDN,,,Astra Otoparts
59,MY190408259,,,,,Y,Active,Automotive Industries Sdn Bhd,BMW Supplier,MA,14,Exhaust System,Metal,Sheet Metalforming,Steel,L,C,C,Malaysian,,,,,MYS,,,
35,SP1906220839,,Y,,,Y,Active,"BASF Philippines, Inc",,MI,12,"Plastics, Chemicals, Coatings",Chemical,,Materials,H,C,C,German,"11th Flr HHIC Building
1128 University Parkway",,Taguig,Metro Manila,PHI,1634,BASF,
60,TH190408314,,,,,Y,Active,"Behn Meyer Chemicals (T) Co., Ltd.",,ZZ,7,Polymer,,,,L,O,C,American,,,,,THA,,,
